"","Date","brz","chn","ind","rus","zar"
"1",2000-01-14,1420.246,36.736,175.426,256.096,257.083
"2",2000-01-21,1382.369,36.105,179.499,249.351,254.323
"3",2000-01-28,1343.787,36.044,187.168,222.911,228.605
"4",2000-02-04,1426.445,35.473,197.677,216.121,237.656
"5",2000-02-11,1416.334,31.841,219.559,224.861,239.324
"6",2000-02-18,1371.733,33.204,243.065,214.751,235.056
"7",2000-02-25,1384.906,29.72,222.215,209.155,228.013
"8",2000-03-03,1439.232,28.471,216.523,232.994,214.877
"9",2000-03-10,1423.904,29.766,211.157,275.989,220.878
"10",2000-03-17,1382.747,29.887,188.664,266.632,219.025
"11",2000-03-24,1459.491,29.371,194.526,297.628,224.132
"12",2000-03-31,1425.961,30.29,193.855,283.979,211.919
"13",2000-04-07,1412.521,30.153,196.02,267.241,208.911
"14",2000-04-14,1188.253,31.529,189.914,265.253,187.216
"15",2000-04-21,1206.486,33.292,170.911,259.614,187.71
"16",2000-04-28,1239.555,33.149,163.497,279.268,192.642
"17",2000-05-05,1222.153,33.53,163.95,277.524,184.562
"18",2000-05-12,1156.956,33.674,140.642,270.59,185.328
"19",2000-05-19,1152.529,36.156,136.977,231.9,176.87
"20",2000-05-26,1173.341,32.76,134.252,230.391,176.825
"21",2000-06-02,1325.743,35.781,145.825,257.549,192.454
"22",2000-06-09,1342.313,37.642,155.062,250.976,196.237
"23",2000-06-16,1345.322,37.772,159.573,245.096,198.736
"24",2000-06-23,1372.268,37.151,157.797,231.82,194.825
"25",2000-06-30,1369.251,38.249,158.72,218.003,198.855
"26",2000-07-07,1434.969,39.485,163.499,235.392,195.336
"27",2000-07-14,1379.071,40.76,160.926,235.816,201.619
"28",2000-07-21,1420.777,41.498,147.586,239.676,200.733
"29",2000-07-28,1346.33,38.163,142.511,239.474,195.673
"30",2000-08-04,1368.202,39.183,135.996,259.669,197.357
"31",2000-08-11,1402.546,37.667,136.114,273.279,204.819
"32",2000-08-18,1381.469,38.652,142.327,274.486,206.429
"33",2000-08-25,1401.288,36.31,145.517,294.66,210.536
"34",2000-09-01,1404.758,36.058,147.852,285.426,217.076
"35",2000-09-08,1410.985,36.246,155.235,273.678,210.19
"36",2000-09-15,1340.273,33.566,149.577,250.669,205.607
"37",2000-09-22,1297.511,28.603,130.514,214.505,195.82
"38",2000-09-29,1300.929,31.619,131.679,238.278,202.744
"39",2000-10-06,1298.231,33.909,130.911,235.787,198.247
"40",2000-10-13,1250.333,29.642,119.117,220.812,185.258
"41",2000-10-20,1187.599,30.65,119.901,242.169,184.842
"42",2000-10-27,1169.383,30.392,120.35,227.232,180.385
"43",2000-11-03,1172.467,30.943,127.68,226.192,194.185
"44",2000-11-10,1155.707,30.59,127.121,203.602,186.5
"45",2000-11-17,1130.233,30.333,126.335,203.771,182.949
"46",2000-11-24,1135.861,26.723,124.963,190.123,174.054
"47",2000-12-01,1065.225,27.573,131.253,157.716,174.839
"48",2000-12-08,1166.43,28.309,136.213,187.592,186.428
"49",2000-12-15,1181.638,27.732,134.491,149.136,182.665
"50",2000-12-22,1161.664,25.709,125.385,157.136,192.201
"51",2000-12-29,1215.556,26.344,128.478,161.565,193.525
"52",2001-01-05,1286.185,26.846,135.981,164.312,194.896
"53",2001-01-12,1311.777,27.86,130.306,184.375,192.986
"54",2001-01-19,1369.81,29.822,136.803,195.708,194.655
"55",2001-01-26,1371.776,30.096,139.618,203.345,197.142
"56",2001-02-02,1318.05,30.235,140.156,190.327,209.318
