"","Date","ABI SJ","ABL SJ","ACL SJ","AEG SJ","AGL SJ","AMS SJ","ANG SJ","AOD SJ","APN SJ","ARI SJ","ASR SJ","AVG SJ","BAW SJ","BGA SJ","BIL SJ","BTI SJ","BVT SJ","CCO SJ","CFR SJ","CRH SJ","CRN SJ","DDT SJ","DRD SJ","DSY SJ","ECO SJ","EXX SJ","FSR SJ","GFI SJ","GRT SJ","HAR SJ","IMP SJ","INL SJ","INP SJ","IPL SJ","ITU SJ","JDG SJ","JNC SJ","KIO SJ","LBH SJ","LGL SJ","LHC SJ","LON SJ","MDC SJ","MND SJ","MNP SJ","MPC SJ","MSM SJ","MTN SJ","MUR SJ","NED SJ","NPK SJ","NPN SJ","NTC SJ","OML SJ","PIK SJ","PPC SJ","REI SJ","REM SJ","RLO SJ","RMH SJ","SAB SJ","SAP SJ","SBK SJ","SHF SJ","SHP SJ","SLM SJ","SOL SJ","TBS SJ","TKG SJ","TRU SJ","VNF SJ","VOD SJ","WHL SJ"
"1",2003-01-02,4880,NA,13078,NA,26924.34,755.77,2965.51,8100,NA,NA,NA,NA,838.11,591.5,10140.26,NA,6793.75,NA,2300,534.23,451.21,394,3286.96,NA,NA,2350,312,1377.14,NA,1099.74,2051.56,1966,647.01,6010,7346.45,NA,294.63,NA,NA,4396.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,1421,NA,NA,715.05,NA,NA,NA,660,NA,NA,600,722.98,NA,NA,NA,769,10500,4396.22,NA,NA,1750,NA,NA
"2",2003-01-03,4880,NA,12975.02,NA,27523.49,751.84,2980.31,8200,NA,NA,NA,NA,838.11,597.15,10344.52,NA,6825,NA,2320,534.23,451.65,394,3311.68,NA,NA,2400,313,1400,NA,1100.82,2047.26,1970,659.01,6005,7281.43,NA,295.22,NA,NA,4402.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,1458,NA,NA,715.05,NA,NA,NA,651,NA,NA,595,722.98,NA,NA,NA,768,10400,4402.33,NA,NA,1775,NA,NA
"3",2003-01-06,4880,NA,12717.58,NA,28763.92,737.1,2985.25,8340,NA,NA,NA,NA,834.3,593.11,10879.28,NA,7062.5,NA,2305,534.23,451.21,384,3519.27,NA,NA,2400,308,1369.14,NA,991.82,2052.23,1970,656.48,6059,7281.43,NA,298.19,NA,NA,4292.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1418,NA,NA,714.09,NA,NA,NA,650,NA,NA,595,724.82,NA,NA,NA,758,10270,4292.42,NA,NA,1760,NA,NA
"4",2003-01-07,4925,NA,12913.24,NA,27991.57,751.84,2990.18,8480,NA,NA,NA,NA,833.29,605.22,10423.42,NA,7187.5,NA,2310,534.23,450.33,400,3459.96,NA,NA,2421,315,1389.71,NA,982.11,2078.71,2000,663.43,6201,7502.48,NA,300.46,NA,NA,4292.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1425,NA,NA,696.69,NA,NA,NA,670,NA,NA,600,729.41,NA,NA,NA,768,10400,4292.42,NA,NA,1755,NA,NA
"5",2003-01-08,4881,NA,12972.96,NA,28085.19,742.01,2960.58,8400,NA,NA,NA,NA,848.02,604.41,10345.39,NA,7312.5,NA,2272,534.75,449.45,398,3430.3,NA,NA,2515,310,1397.71,NA,986.96,2120.08,1995,666.59,6125,7671.51,NA,298.84,NA,NA,4243.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,1413,NA,NA,715.05,NA,NA,NA,670,NA,NA,595,733.99,NA,NA,NA,770,10300,4243.58,NA,NA,1725,NA,NA
"6",2003-01-09,4881,NA,12923.53,NA,28086.13,746.93,2977.85,8651,NA,NA,NA,NA,853.35,589.89,10354.16,NA,7487.5,NA,2260,534.75,449.02,395,3430.3,NA,NA,2600,309,1384,NA,991.82,2138.29,1990,660.27,6070,7671.51,NA,305.64,NA,NA,4274.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,1385,NA,NA,715.05,NA,NA,NA,671,NA,NA,594,734.91,NA,NA,NA,760,10199,4274.11,NA,NA,1732,NA,NA
"7",2003-01-10,4900,NA,12666.09,NA,28090.81,746.93,2997.58,9300,NA,NA,NA,NA,853.35,597.15,10520.72,NA,7075,NA,2260,542.05,451.21,388,3504.45,NA,NA,2530,315,1405.71,NA,992.9,2153.18,2000,655.85,6010,7678.01,NA,313.41,NA,NA,4231.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1386,NA,NA,719.88,NA,NA,NA,675,NA,NA,595,734.91,NA,NA,NA,770,10000,4231.36,NA,NA,1737,NA,NA
"8",2003-01-13,4950,NA,13335.44,NA,28562.64,742.01,2856.96,9000,NA,NA,NA,NA,860.97,605.22,10573.32,NA,7275,NA,2259,534.75,451.21,400,3469.85,NA,NA,2529,310,1450.29,NA,1001.53,2151.53,2000,660.27,6055,8159.11,NA,330.25,NA,NA,4213.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1408,NA,NA,724.72,NA,NA,NA,671,NA,NA,585,734.91,NA,NA,NA,757,10341,4213.05,NA,NA,1775,NA,NA
"9",2003-01-14,4980,NA,13403.4,NA,29208.6,743,2856.96,9050,NA,NA,NA,NA,863.51,619.74,10778.46,NA,7250,NA,2260,542.05,455.59,401,3608.24,NA,NA,2505,311,1480,NA,1009.09,2197.87,2000,678.6,6180,8191.61,NA,338.67,NA,NA,4200.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,1405,NA,NA,724.72,NA,NA,NA,665,NA,NA,600,733.99,NA,NA,NA,768,10140,4200.84,NA,NA,1780,NA,NA
"10",2003-01-15,4910,NA,13551.69,NA,28132,742.01,2861.89,8950,NA,NA,NA,NA,856.4,619.74,10191.98,NA,7500,NA,2280,544.13,464.35,403,3380.88,NA,NA,2549,311,1474.29,NA,1009.63,2184.63,1999,682.39,6061,8172.11,NA,343.2,NA,NA,4213.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,1420,NA,NA,719.88,NA,NA,NA,665,NA,NA,595,738.58,NA,NA,NA,769,10430,4213.05,NA,NA,1805,NA,NA
"11",2003-01-16,4880,NA,13479.61,NA,27944.76,749.88,2836.73,9000,NA,NA,NA,NA,856.4,605.22,10256.85,NA,7387.5,NA,2200,547.26,459.97,400,3410.53,NA,NA,2565,314,1432,NA,1014.48,2127.36,2000,675.44,6153,8185.11,NA,336.72,NA,NA,4211.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,1380,NA,NA,715.05,NA,NA,NA,667,NA,NA,600,738.58,NA,NA,NA,750,10560,4211.21,NA,NA,1805,NA,NA
"12",2003-01-17,4880,NA,13747.35,NA,29489.45,751.84,2763.21,8950,NA,NA,NA,NA,840.65,602.8,10739.89,NA,7428.13,NA,2280,547.26,459.97,385,3558.82,NA,NA,2565,313,1405.71,NA,1014.48,2108.5,2000,660.27,6110,8191.61,NA,323.77,NA,NA,4164.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,1375,NA,NA,710.22,NA,NA,NA,660,NA,NA,595,733.99,NA,NA,NA,760,10300,4164.2,NA,NA,1800,NA,NA
"13",2003-01-20,4905,NA,13644.37,NA,29442.64,742.01,2812.55,8800,NA,NA,NA,NA,863.51,613.29,10606.64,NA,7437.5,NA,2240,547.26,459.97,390,3409.54,NA,NA,2565,312,1390.86,NA,1014.48,2125.05,1900,669.75,6115,8321.64,NA,327.01,NA,NA,4213.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1390,NA,NA,700.56,NA,NA,NA,660,NA,NA,595,733.99,NA,NA,NA,765,10295,4213.05,NA,NA,1825,NA,NA
